ItemID,Category,Vendor,Name,Description,CPU/SoC,RAM_GB,Storage_GB,GPU,Screen_Size_Inch,OS,Price,Rating
LAP-020,Laptop,Dell,"Dell 15.0"" Business Laptop","15.0"" Dell laptop with Intel Core i9-13900H, 8GB RAM, 512GB SSD, AMD Radeon 780M, Windows 11 Pro.",Intel Core i9-13900H,8.0,512.0,AMD Radeon 780M,15.0,Windows 11 Pro,1433.79,4.1
LAP-021,Laptop,LG,"LG 13.3"" Business Laptop","13.3"" LG laptop with AMD Ryzen 5 7640U, 32GB RAM, 512GB SSD, NVIDIA RTX 3050, Windows 11 Pro.",AMD Ryzen 5 7640U,32.0,512.0,NVIDIA RTX 3050,13.3,Windows 11 Pro,1294.37,3.9
LAP-022,Laptop,Apple,Apple Laptop Model 993,"15.6"" Apple laptop with Apple M2, 24GB unified memory, 256GB SSD, Integrated (Apple GPU 10‑core), macOS Sonoma.",Apple M2,24.0,256.0,Integrated (Apple GPU 10‑core),15.6,macOS Sonoma,1337.53,4.1
LAP-023,Laptop,Acer,"Acer 14.0"" Business Laptop","14.0"" Acer laptop with Intel Core Ultra 7 155H, 8GB RAM, 2048GB SSD, Integrated, Windows 11 Pro.",Intel Core Ultra 7 155H,8.0,2048.0,Integrated,14.0,Windows 11 Pro,1387.11,4.7
LAP-024,Laptop,Apple,Apple Laptop Model 462,"15.0"" Apple laptop with Apple M2, 8GB unified memory, 512GB SSD, Integrated (Apple GPU 8‑core), macOS Sonoma.",Apple M2,8.0,512.0,Integrated (Apple GPU 8‑core),15.0,macOS Sonoma,1395.4,4.1
LAP-025,Laptop,Asus,"Asus 16.0"" Business Laptop","16.0"" Asus laptop with AMD Ryzen 7 7735HS, 32GB RAM, 512GB SSD, Intel Iris Xe, Windows 11 Pro.",AMD Ryzen 7 7735HS,32.0,512.0,Intel Iris Xe,16.0,Windows 11 Pro,1213.63,4.5
LAP-026,Laptop,Apple,Apple Laptop Model 559,"17.0"" Apple laptop with Apple M2, 24GB unified memory, 1024GB SSD, Integrated (Apple GPU 10‑core), macOS Sonoma.",Apple M2,24.0,1024.0,Integrated (Apple GPU 10‑core),17.0,macOS Sonoma,1738.52,4.7
LAP-027,Laptop,HP,"HP 13.3"" Business Laptop","13.3"" HP laptop with Intel Core i7-1360P, 16GB RAM, 1024GB SSD, NVIDIA RTX 4060 Laptop, Windows 11 Pro.",Intel Core i7-1360P,16.0,1024.0,NVIDIA RTX 4060 Laptop,13.3,Windows 11 Pro,1331.79,4.4
LAP-028,Laptop,Microsoft,"Microsoft 15.6"" Business Laptop","15.6"" Microsoft laptop with Intel Core Ultra 7 155H, 32GB RAM, 1024GB SSD, Intel Iris Xe, Windows 11 Pro.",Intel Core Ultra 7 155H,32.0,1024.0,Intel Iris Xe,15.6,Windows 11 Pro,1499.8,4.2
LAP-029,Laptop,Microsoft,"Microsoft 17.0"" Business Laptop","17.0"" Microsoft laptop with AMD Ryzen 7 7735HS, 32GB RAM, 1024GB SSD, AMD Radeon 780M, Windows 11 Pro.",AMD Ryzen 7 7735HS,32.0,1024.0,AMD Radeon 780M,17.0,Windows 11 Pro,1559.41,4.3
LAP-030,Laptop,Samsung,"Samsung 14.0"" Business Laptop","14.0"" Samsung laptop with AMD Ryzen 7 7840U, 8GB RAM, 2048GB SSD, AMD Radeon 780M, Windows 11 Pro.",AMD Ryzen 7 7840U,8.0,2048.0,AMD Radeon 780M,14.0,Windows 11 Pro,1710.13,4.3
LAP-031,Laptop,HP,"HP 16.0"" Business Laptop","16.0"" HP laptop with AMD Ryzen 7 7840U, 32GB RAM, 256GB SSD, NVIDIA RTX 2050, Windows 11 Pro.",AMD Ryzen 7 7840U,32.0,256.0,NVIDIA RTX 2050,16.0,Windows 11 Pro,1400.54,4.1
LAP-032,Laptop,Dell,"Dell 15.0"" Business Laptop","15.0"" Dell laptop with Intel Core Ultra 7 155H, 64GB RAM, 512GB SSD, NVIDIA RTX 2050, Windows 11 Pro.",Intel Core Ultra 7 155H,64.0,512.0,NVIDIA RTX 2050,15.0,Windows 11 Pro,1662.16,4.5
LAP-033,Laptop,LG,"LG 17.0"" Business Laptop","17.0"" LG laptop with AMD Ryzen 7 7735HS, 32GB RAM, 2048GB SSD, Integrated, Windows 11 Pro.",AMD Ryzen 7 7735HS,32.0,2048.0,Integrated,17.0,Windows 11 Pro,1698.73,4.2
LAP-034,Laptop,Apple,Apple Laptop Model 736,"13.6"" Apple laptop with Apple M2 Pro, 32GB unified memory, 2048GB SSD, Integrated (Apple GPU 12‑core), macOS Sonoma.",Apple M2 Pro,32.0,2048.0,Integrated (Apple GPU 12‑core),13.6,macOS Sonoma,2445.07,4.4
LAP-035,Laptop,Apple,Apple Laptop Model 124,"13.3"" Apple laptop with Apple M3, 24GB unified memory, 1024GB SSD, Integrated (Apple GPU 8‑core), macOS Sonoma.",Apple M3,24.0,1024.0,Integrated (Apple GPU 8‑core),13.3,macOS Sonoma,1877.59,4.0
LAP-036,Laptop,Apple,Apple Laptop Model 524,"13.3"" Apple laptop with Apple M3 Pro, 8GB unified memory, 2048GB SSD, Integrated (Apple GPU 12‑core), macOS Sonoma.",Apple M3 Pro,8.0,2048.0,Integrated (Apple GPU 12‑core),13.3,macOS Sonoma,2252.33,4.2
LAP-037,Laptop,LG,"LG 15.0"" Business Laptop","15.0"" LG laptop with Intel Core i9-13900H, 16GB RAM, 512GB SSD, AMD Radeon 780M, Windows 11 Pro.",Intel Core i9-13900H,16.0,512.0,AMD Radeon 780M,15.0,Windows 11 Pro,1318.09,4.2
LAP-038,Laptop,Lenovo,"Lenovo 16.0"" Business Laptop","16.0"" Lenovo laptop with Intel Core i5-1340P, 32GB RAM, 256GB SSD, NVIDIA RTX 3050, Windows 11 Pro.",Intel Core i5-1340P,32.0,256.0,NVIDIA RTX 3050,16.0,Windows 11 Pro,1379.83,4.6
LAP-039,Laptop,MSI,"MSI 14.0"" Business Laptop","14.0"" MSI laptop with AMD Ryzen 7 7840U, 32GB RAM, 1024GB SSD, NVIDIA RTX 2050, Windows 11 Pro.",AMD Ryzen 7 7840U,32.0,1024.0,NVIDIA RTX 2050,14.0,Windows 11 Pro,1696.51,4.4
LAP-040,Laptop,MSI,"MSI 13.6"" Business Laptop","13.6"" MSI laptop with AMD Ryzen 7 7735HS, 32GB RAM, 256GB SSD, NVIDIA RTX 2050, Windows 11 Pro.",AMD Ryzen 7 7735HS,32.0,256.0,NVIDIA RTX 2050,13.6,Windows 11 Pro,1310.96,4.1
LAP-041,Laptop,Apple,Apple Laptop Model 580,"15.6"" Apple laptop with Apple M2, 16GB unified memory, 1024GB SSD, Integrated (Apple GPU 12‑core), macOS Sonoma.",Apple M2,16.0,1024.0,Integrated (Apple GPU 12‑core),15.6,macOS Sonoma,1686.72,3.8
LAP-042,Laptop,Samsung,"Samsung 13.6"" Business Laptop","13.6"" Samsung laptop with Intel Core i5-1340P, 16GB RAM, 512GB SSD, NVIDIA RTX 2050, Windows 11 Pro.",Intel Core i5-1340P,16.0,512.0,NVIDIA RTX 2050,13.6,Windows 11 Pro,1197.14,4.5
LAP-043,Laptop,Apple,Apple Laptop Model 664,"13.3"" Apple laptop with Apple M2 Pro, 32GB unified memory, 2048GB SSD, Integrated (Apple GPU 10‑core), macOS Sonoma.",Apple M2 Pro,32.0,2048.0,Integrated (Apple GPU 10‑core),13.3,macOS Sonoma,2322.28,4.1
LAP-044,Laptop,Dell,"Dell 17.0"" Business Laptop","17.0"" Dell laptop with AMD Ryzen 7 7840U, 32GB RAM, 2048GB SSD, Intel Iris Xe, Windows 11 Pro.",AMD Ryzen 7 7840U,32.0,2048.0,Intel Iris Xe,17.0,Windows 11 Pro,1469.73,3.9
LAP-045,Laptop,Apple,Apple Laptop Model 909,"13.6"" Apple laptop with Apple M3 Pro, 8GB unified memory, 256GB SSD, Integrated (Apple GPU 8‑core), macOS Sonoma.",Apple M3 Pro,8.0,256.0,Integrated (Apple GPU 8‑core),13.6,macOS Sonoma,1539.42,4.3
LAP-046,Laptop,Samsung,"Samsung 16.0"" Business Laptop","16.0"" Samsung laptop with AMD Ryzen 5 7640U, 64GB RAM, 512GB SSD, Integrated, Windows 11 Pro.",AMD Ryzen 5 7640U,64.0,512.0,Integrated,16.0,Windows 11 Pro,1228.91,4.1
LAP-047,Laptop,Acer,"Acer 16.0"" Business Laptop","16.0"" Acer laptop with Intel Core i7-1360P, 32GB RAM, 512GB SSD, NVIDIA RTX 4060 Laptop, Windows 11 Pro.",Intel Core i7-1360P,32.0,512.0,NVIDIA RTX 4060 Laptop,16.0,Windows 11 Pro,1348.82,4.1
LAP-048,Laptop,HP,"HP 15.6"" Business Laptop","15.6"" HP laptop with Intel Core i7-13700H, 64GB RAM, 512GB SSD, Intel Iris Xe, Windows 11 Pro.",Intel Core i7-13700H,64.0,512.0,Intel Iris Xe,15.6,Windows 11 Pro,1445.7,4.5
LAP-049,Laptop,Microsoft,"Microsoft 15.0"" Business Laptop","15.0"" Microsoft laptop with AMD Ryzen 5 7640U, 64GB RAM, 512GB SSD, Intel Iris Xe, Windows 11 Pro.",AMD Ryzen 5 7640U,64.0,512.0,Intel Iris Xe,15.0,Windows 11 Pro,1232.07,4.2
LAP-050,Laptop,Microsoft,"Microsoft 14.0"" Business Laptop","14.0"" Microsoft laptop with Intel Core i7-13700H, 8GB RAM, 2048GB SSD, NVIDIA RTX 3050, Windows 11 Pro.",Intel Core i7-13700H,8.0,2048.0,NVIDIA RTX 3050,14.0,Windows 11 Pro,1568.43,3.9
LAP-051,Laptop,Lenovo,"Lenovo 17.0"" Business Laptop","17.0"" Lenovo laptop with AMD Ryzen 7 7735HS, 64GB RAM, 256GB SSD, AMD Radeon 780M, Windows 11 Pro.",AMD Ryzen 7 7735HS,64.0,256.0,AMD Radeon 780M,17.0,Windows 11 Pro,1616.78,4.7
LAP-052,Laptop,Dell,"Dell 13.3"" Business Laptop","13.3"" Dell laptop with AMD Ryzen 7 7735HS, 16GB RAM, 1024GB SSD, AMD Radeon 780M, Windows 11 Pro.",AMD Ryzen 7 7735HS,16.0,1024.0,AMD Radeon 780M,13.3,Windows 11 Pro,1477.99,4.7
LAP-053,Laptop,LG,"LG 17.0"" Business Laptop","17.0"" LG laptop with Intel Core i5-1340P, 16GB RAM, 1024GB SSD, Integrated, Windows 11 Pro.",Intel Core i5-1340P,16.0,1024.0,Integrated,17.0,Windows 11 Pro,1014.27,4.5
LAP-054,Laptop,MSI,"MSI 13.6"" Business Laptop","13.6"" MSI laptop with AMD Ryzen 7 7840U, 16GB RAM, 1024GB SSD, NVIDIA RTX 3050, Windows 11 Pro.",AMD Ryzen 7 7840U,16.0,1024.0,NVIDIA RTX 3050,13.6,Windows 11 Pro,1478.87,3.8
LAP-055,Laptop,Dell,"Dell 15.0"" Business Laptop","15.0"" Dell laptop with Intel Core i7-13700H, 16GB RAM, 2048GB SSD, Intel Iris Xe, Windows 11 Pro.",Intel Core i7-13700H,16.0,2048.0,Intel Iris Xe,15.0,Windows 11 Pro,1374.41,4.6
LAP-056,Laptop,HP,"HP 17.0"" Business Laptop","17.0"" HP laptop with AMD Ryzen 7 7840U, 16GB RAM, 256GB SSD, AMD Radeon 780M, Windows 11 Pro.",AMD Ryzen 7 7840U,16.0,256.0,AMD Radeon 780M,17.0,Windows 11 Pro,1316.14,4.5
LAP-057,Laptop,Lenovo,"Lenovo 13.3"" Business Laptop","13.3"" Lenovo laptop with AMD Ryzen 7 7840U, 16GB RAM, 512GB SSD, Intel Iris Xe, Windows 11 Pro.",AMD Ryzen 7 7840U,16.0,512.0,Intel Iris Xe,13.3,Windows 11 Pro,1011.63,4.6
LAP-058,Laptop,Microsoft,"Microsoft 13.6"" Business Laptop","13.6"" Microsoft laptop with AMD Ryzen 7 7735HS, 32GB RAM, 256GB SSD, AMD Radeon 780M, Windows 11 Pro.",AMD Ryzen 7 7735HS,32.0,256.0,AMD Radeon 780M,13.6,Windows 11 Pro,1508.94,3.9
LAP-059,Laptop,Microsoft,"Microsoft 15.0"" Business Laptop","15.0"" Microsoft laptop with AMD Ryzen 7 7840U, 64GB RAM, 2048GB SSD, Intel Iris Xe, Windows 11 Pro.",AMD Ryzen 7 7840U,64.0,2048.0,Intel Iris Xe,15.0,Windows 11 Pro,1753.23,4.4
LAP-060,Laptop,Acer,"Acer 17.0"" Business Laptop","17.0"" Acer laptop with AMD Ryzen 7 7735HS, 32GB RAM, 2048GB SSD, NVIDIA RTX 2050, Windows 11 Pro.",AMD Ryzen 7 7735HS,32.0,2048.0,NVIDIA RTX 2050,17.0,Windows 11 Pro,1710.76,4.5
LAP-061,Laptop,Microsoft,"Microsoft 17.0"" Business Laptop","17.0"" Microsoft laptop with AMD Ryzen 7 7840U, 32GB RAM, 2048GB SSD, NVIDIA RTX 3050, Windows 11 Pro.",AMD Ryzen 7 7840U,32.0,2048.0,NVIDIA RTX 3050,17.0,Windows 11 Pro,1800.22,4.3
LAP-062,Laptop,Lenovo,"Lenovo 15.0"" Business Laptop","15.0"" Lenovo laptop with AMD Ryzen 7 7840U, 64GB RAM, 1024GB SSD, Integrated, Windows 11 Pro.",AMD Ryzen 7 7840U,64.0,1024.0,Integrated,15.0,Windows 11 Pro,1594.58,4.3
LAP-063,Laptop,MSI,"MSI 17.0"" Business Laptop","17.0"" MSI laptop with AMD Ryzen 7 7735HS, 16GB RAM, 256GB SSD, NVIDIA RTX 3050, Windows 11 Pro.",AMD Ryzen 7 7735HS,16.0,256.0,NVIDIA RTX 3050,17.0,Windows 11 Pro,1249.17,4.6
LAP-064,Laptop,Asus,"Asus 15.6"" Business Laptop","15.6"" Asus laptop with Intel Core i5-1340P, 64GB RAM, 512GB SSD, AMD Radeon 780M, Windows 11 Pro.",Intel Core i5-1340P,64.0,512.0,AMD Radeon 780M,15.6,Windows 11 Pro,1705.83,4.4
LAP-065,Laptop,MSI,"MSI 13.6"" Business Laptop","13.6"" MSI laptop with AMD Ryzen 5 7640U, 8GB RAM, 2048GB SSD, Intel Iris Xe, Windows 11 Pro.",AMD Ryzen 5 7640U,8.0,2048.0,Intel Iris Xe,13.6,Windows 11 Pro,1324.06,4.3
LAP-066,Laptop,Acer,"Acer 15.6"" Business Laptop","15.6"" Acer laptop with Intel Core i5-1340P, 64GB RAM, 512GB SSD, AMD Radeon 780M, Windows 11 Pro.",Intel Core i5-1340P,64.0,512.0,AMD Radeon 780M,15.6,Windows 11 Pro,1551.5,4.1
LAP-067,Laptop,Apple,Apple Laptop Model 181,"15.0"" Apple laptop with Apple M3 Pro, 16GB unified memory, 1024GB SSD, Integrated (Apple GPU 10‑core), macOS Sonoma.",Apple M3 Pro,16.0,1024.0,Integrated (Apple GPU 10‑core),15.0,macOS Sonoma,1992.71,4.6
LAP-068,Laptop,Dell,"Dell 14.0"" Business Laptop","14.0"" Dell laptop with Intel Core i9-13900H, 8GB RAM, 256GB SSD, Integrated, Windows 11 Pro.",Intel Core i9-13900H,8.0,256.0,Integrated,14.0,Windows 11 Pro,901.73,4.2
LAP-069,Laptop,MSI,"MSI 16.0"" Business Laptop","16.0"" MSI laptop with AMD Ryzen 5 7640U, 8GB RAM, 256GB SSD, NVIDIA RTX 3050, Windows 11 Pro.",AMD Ryzen 5 7640U,8.0,256.0,NVIDIA RTX 3050,16.0,Windows 11 Pro,1184.67,4.0
LAP-070,Laptop,HP,"HP 13.3"" Business Laptop","13.3"" HP laptop with AMD Ryzen 7 7840U, 64GB RAM, 1024GB SSD, NVIDIA RTX 2050, Windows 11 Pro.",AMD Ryzen 7 7840U,64.0,1024.0,NVIDIA RTX 2050,13.3,Windows 11 Pro,1919.95,3.9
LAP-071,Laptop,MSI,"MSI 15.6"" Business Laptop","15.6"" MSI laptop with Intel Core i5-1340P, 64GB RAM, 512GB SSD, NVIDIA RTX 4060 Laptop, Windows 11 Pro.",Intel Core i5-1340P,64.0,512.0,NVIDIA RTX 4060 Laptop,15.6,Windows 11 Pro,1691.67,4.2
LAP-072,Laptop,Apple,Apple Laptop Model 550,"15.6"" Apple laptop with Apple M2 Pro, 24GB unified memory, 256GB SSD, Integrated (Apple GPU 12‑core), macOS Sonoma.",Apple M2 Pro,24.0,256.0,Integrated (Apple GPU 12‑core),15.6,macOS Sonoma,1710.25,4.2
LAP-073,Laptop,HP,"HP 16.0"" Business Laptop","16.0"" HP laptop with Intel Core i5-1340P, 64GB RAM, 2048GB SSD, NVIDIA RTX 4060 Laptop, Windows 11 Pro.",Intel Core i5-1340P,64.0,2048.0,NVIDIA RTX 4060 Laptop,16.0,Windows 11 Pro,2030.73,4.8
LAP-074,Laptop,Asus,"Asus 16.0"" Business Laptop","16.0"" Asus laptop with AMD Ryzen 7 7735HS, 32GB RAM, 256GB SSD, AMD Radeon 780M, Windows 11 Pro.",AMD Ryzen 7 7735HS,32.0,256.0,AMD Radeon 780M,16.0,Windows 11 Pro,1386.27,4.3
LAP-075,Laptop,Lenovo,"Lenovo 15.0"" Business Laptop","15.0"" Lenovo laptop with Intel Core i7-13700H, 16GB RAM, 2048GB SSD, NVIDIA RTX 2050, Windows 11 Pro.",Intel Core i7-13700H,16.0,2048.0,NVIDIA RTX 2050,15.0,Windows 11 Pro,1741.67,4.1
LAP-076,Laptop,Apple,Apple Laptop Model 371,"17.0"" Apple laptop with Apple M2, 24GB unified memory, 256GB SSD, Integrated (Apple GPU 8‑core), macOS Sonoma.",Apple M2,24.0,256.0,Integrated (Apple GPU 8‑core),17.0,macOS Sonoma,1441.48,4.4
LAP-077,Laptop,HP,"HP 15.6"" Business Laptop","15.6"" HP laptop with AMD Ryzen 5 7640U, 32GB RAM, 512GB SSD, Integrated, Windows 11 Pro.",AMD Ryzen 5 7640U,32.0,512.0,Integrated,15.6,Windows 11 Pro,1163.5,4.1
LAP-078,Laptop,LG,"LG 15.0"" Business Laptop","15.0"" LG laptop with Intel Core i7-13700H, 64GB RAM, 1024GB SSD, AMD Radeon 780M, Windows 11 Pro.",Intel Core i7-13700H,64.0,1024.0,AMD Radeon 780M,15.0,Windows 11 Pro,1839.34,4.2
LAP-079,Laptop,HP,"HP 16.0"" Business Laptop","16.0"" HP laptop with Intel Core i7-1360P, 32GB RAM, 1024GB SSD, NVIDIA RTX 3050, Windows 11 Pro.",Intel Core i7-1360P,32.0,1024.0,NVIDIA RTX 3050,16.0,Windows 11 Pro,1428.22,4.6
LAP-080,Laptop,Asus,"Asus 16.0"" Business Laptop","16.0"" Asus laptop with AMD Ryzen 7 7735HS, 32GB RAM, 256GB SSD, NVIDIA RTX 3050, Windows 11 Pro.",AMD Ryzen 7 7735HS,32.0,256.0,NVIDIA RTX 3050,16.0,Windows 11 Pro,1357.98,4.1
LAP-081,Laptop,Samsung,"Samsung 13.3"" Business Laptop","13.3"" Samsung laptop with AMD Ryzen 7 7840U, 32GB RAM, 256GB SSD, NVIDIA RTX 4060 Laptop, Windows 11 Pro.",AMD Ryzen 7 7840U,32.0,256.0,NVIDIA RTX 4060 Laptop,13.3,Windows 11 Pro,1509.62,3.9
LAP-082,Laptop,Apple,Apple Laptop Model 281,"17.0"" Apple laptop with Apple M2 Pro, 24GB unified memory, 256GB SSD, Integrated (Apple GPU 10‑core), macOS Sonoma.",Apple M2 Pro,24.0,256.0,Integrated (Apple GPU 10‑core),17.0,macOS Sonoma,1809.96,4.6
LAP-083,Laptop,Lenovo,"Lenovo 13.3"" Business Laptop","13.3"" Lenovo laptop with Intel Core i7-1360P, 32GB RAM, 256GB SSD, Integrated, Windows 11 Pro.",Intel Core i7-1360P,32.0,256.0,Integrated,13.3,Windows 11 Pro,953.48,4.0
LAP-084,Laptop,LG,"LG 13.6"" Business Laptop","13.6"" LG laptop with AMD Ryzen 7 7840U, 16GB RAM, 512GB SSD, Integrated, Windows 11 Pro.",AMD Ryzen 7 7840U,16.0,512.0,Integrated,13.6,Windows 11 Pro,965.21,4.3
LAP-085,Laptop,Dell,"Dell 16.0"" Business Laptop","16.0"" Dell laptop with Intel Core i7-1360P, 32GB RAM, 512GB SSD, Integrated, Windows 11 Pro.",Intel Core i7-1360P,32.0,512.0,Integrated,16.0,Windows 11 Pro,1053.0,4.7
LAP-086,Laptop,MSI,"MSI 13.6"" Business Laptop","13.6"" MSI laptop with AMD Ryzen 7 7840U, 32GB RAM, 2048GB SSD, Integrated, Windows 11 Pro.",AMD Ryzen 7 7840U,32.0,2048.0,Integrated,13.6,Windows 11 Pro,1530.77,4.5
LAP-087,Laptop,Lenovo,"Lenovo 13.6"" Business Laptop","13.6"" Lenovo laptop with AMD Ryzen 5 7640U, 64GB RAM, 256GB SSD, AMD Radeon 780M, Windows 11 Pro.",AMD Ryzen 5 7640U,64.0,256.0,AMD Radeon 780M,13.6,Windows 11 Pro,1594.79,4.0
LAP-088,Laptop,MSI,"MSI 13.3"" Business Laptop","13.3"" MSI laptop with Intel Core i5-1340P, 8GB RAM, 512GB SSD, NVIDIA RTX 4060 Laptop, Windows 11 Pro.",Intel Core i5-1340P,8.0,512.0,NVIDIA RTX 4060 Laptop,13.3,Windows 11 Pro,1187.96,4.6
LAP-089,Laptop,Apple,Apple Laptop Model 219,"13.3"" Apple laptop with Apple M2, 24GB unified memory, 512GB SSD, Integrated (Apple GPU 10‑core), macOS Sonoma.",Apple M2,24.0,512.0,Integrated (Apple GPU 10‑core),13.3,macOS Sonoma,1515.77,4.0
LAP-090,Laptop,Lenovo,"Lenovo 16.0"" Business Laptop","16.0"" Lenovo laptop with AMD Ryzen 7 7840U, 16GB RAM, 512GB SSD, NVIDIA RTX 3050, Windows 11 Pro.",AMD Ryzen 7 7840U,16.0,512.0,NVIDIA RTX 3050,16.0,Windows 11 Pro,1433.6,4.6
